name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
Mourad,2019,37.78695,-122.39987,San Francisco,California,94105,Moroccan,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad,one
Hashiri,2019,37.783062,-122.40754,San Francisco,California,94103,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,one
Angler,2019,37.793167,-122.39213,San Francisco,California,94101,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler,one
Rich Table,2019,37.774914,-122.42271,San Francisco,California,94102,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table,one
Kin Khao,2019,37.785267,-122.40951,San Francisco,California,94102,Thai,Min,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao,one
Michael Mina,2019,37.79349,-122.399574,San Francisco,California,94102,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina,one
Sons & Daughters,2019,37.79037,-122.40917,San Francisco,California,94108,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters,one
Mister Jiu's,2019,37.79371,-122.406654,San Francisco,California,94108,Chinese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius,one
Nico,2019,37.795803,-122.40333,San Francisco,California,94101,Contemporary,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico,one
jū-ni,2019,37.77672,-122.43886,San Francisco,California,94117,Japanese,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni,one
Keiko à Nob Hill,2019,37.793106,-122.41445,San Francisco,California,94109,Fusion,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill,one
The Progress,2019,37.78371,-122.43282,San Francisco,California,94115,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,one
State Bird Provisions,2019,37.783737,-122.43283,San Francisco,California,94115,American,Min,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,one
Octavia,2019,37.787857,-122.42709,San Francisco,California,94109,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,one
SPQR,2019,37.78732,-122.43375,San Francisco,California,94115,Italian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,one
Lord Stanley,2019,37.79592,-122.42208,San Francisco,California,94109,Californian,Max,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,one
